num_s: 13
num_e: 13
Iteration 1: LL: -44.74794196630024, ll_diff: inf
Iteration 94: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 95: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 96: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 97: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 98: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 99: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 100: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 101: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 102: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 103: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 104: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 105: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 106: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 107: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 108: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 109: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 110: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 111: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 112: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 113: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 114: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 115: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 116: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 117: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 118: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 119: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 120: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 121: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 122: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 123: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 124: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 125: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 126: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 127: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 128: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 129: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 130: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 131: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 132: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 133: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 134: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 135: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 136: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 137: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 138: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 139: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 140: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 141: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 142: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 143: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 144: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 145: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 146: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 147: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 148: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 149: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 150: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 151: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 152: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 153: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 154: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 155: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 156: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 157: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 158: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 159: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 160: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 161: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 162: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 163: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 164: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 165: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 166: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 167: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 168: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 169: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 170: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 171: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 172: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 173: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 174: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 175: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 176: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 177: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 178: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 179: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 180: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 181: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 182: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 183: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 184: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 185: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 186: LL: -43.66845959403453, ll_diff: 16.08872148366457
